id,title,description,image_url,location_name,country_name,taken_on,lat,lng,created_at,slideshow_image_url,instagram_url
098c5a28-3871-4cbd-8129-3b7dc7437a51,| memories.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/098c5a28-3871-4cbd-8129-3b7dc7437a51-image_url.png,"Tijuana, Baja California",Mexico,2024-06-01,32.492785,-117.007738,2026-09-09 09:44:53.073275+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/098c5a28-3871-4cbd-8129-3b7dc7437a51-slideshow_image_url.jpg,https://www.instagram.com/p/DQjqnyLiIo_/
26c6af96-77f9-4836-9093-82fe9971af6a,| sunday stroll.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/26c6af96-77f9-4836-9093-82fe9971af6a-image_url.png,"Broad St, Oxford",United Kingdom,2026-04-01,51.754342,-1.256308,2026-08-28 10:58:45.235+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/26c6af96-77f9-4836-9093-82fe9971af6a-slideshow_image_url.jpg,https://www.instagram.com/p/DbkyXDwoEeF/
2d30a96d-2f90-409a-a193-7a5cb9d8619a,| why not?,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/2d30a96d-2f90-409a-a193-7a5cb9d8619a-image_url.png,"Duke St, Liverpool",United Kingdom,2026-02-01,53.401547,-2.980699,2026-09-09 13:08:18.041265+00,,https://www.instagram.com/p/DYdEdOjqLRc/
39492e8f-2268-4fca-a10b-56f95b0366ae,| with my brothers.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/39492e8f-2268-4fca-a10b-56f95b0366ae-image_url.png,"Zona Rio, Tijuana",Mexico,2024-05-01,32.522745,-117.012038,2026-09-09 15:41:39.014159+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/39492e8f-2268-4fca-a10b-56f95b0366ae-slideshow_image_url.jpg,https://www.instagram.com/p/C72iV69s5A-/
43995058-2a6d-4fa4-b33e-2f9ce9d59232,| running late.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/43995058-2a6d-4fa4-b33e-2f9ce9d59232-image_url.png,"All Souls College, Oxford",United Kingdom,2026-04-01,51.753951,-1.2543,2026-09-09 13:25:50.619858+00,,https://www.instagram.com/p/Db396XfIC2I/
6356d86c-a8f4-48d0-85a7-3dbe096171f9,| walkman.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/6356d86c-a8f4-48d0-85a7-3dbe096171f9-image_url.png,"Waterfront, Liverpool",United Kingdom,2026-02-01,53.40449,-2.996598,2026-09-09 08:00:41.238483+00,,https://www.instagram.com/p/DbeEXa4I1dg/
67cc4541-4b07-4b07-8669-f26f81c1422e,| focus.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/67cc4541-4b07-4b07-8669-f26f81c1422e-image_url.png,"Liberty St, San Diego",United States,2024-05-01,32.740051,-117.211659,2026-08-28 11:07:39.508+00,,https://www.instagram.com/p/DbY9hSmIYP_/
69120967-2522-44cb-8212-15a5f1211eef,| the sun is out.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/69120967-2522-44cb-8212-15a5f1211eef-image_url.png,"Lavenham, Suffolk",United Kingdom,2024-08-01,52.108885,0.796387,2026-09-09 09:28:29.454536+00,,https://www.instagram.com/p/DQ2ke6ZiB9l/
758eaf37-8732-46b7-9b0a-291295917bcf,| all-nighter.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/758eaf37-8732-46b7-9b0a-291295917bcf-image_url.png,"Tijuana, Baja California",Mexico,2024-06-01,32.492785,-117.007738,2026-09-09 15:25:17.185245+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/758eaf37-8732-46b7-9b0a-291295917bcf-slideshow_image_url.jpg,https://www.instagram.com/p/DRSeuCziEnJ/
88ad02ef-61e8-43bf-a047-5ad0426482ce,| tea for two.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/88ad02ef-61e8-43bf-a047-5ad0426482ce-image_url.png,"Lavenham, Suffolk",United Kingdom,2024-08-01,52.108889,0.796113,2026-09-09 09:30:08.000829+00,,https://www.instagram.com/p/DSKYj22iKG0/
b42d66c8-f0c2-4516-b93f-76fb4d7c0e1a,| deuce.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/b42d66c8-f0c2-4516-b93f-76fb4d7c0e1a-image_url.png,"Bridge of Sighs, Oxford",United Kingdom,2026-04-01,51.754423,-1.254569,2026-09-09 11:59:54.695535+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/b42d66c8-f0c2-4516-b93f-76fb4d7c0e1a-slideshow_image_url.jpg,https://www.instagram.com/p/Db1PUXxPU1R/
b517160d-6b0a-40c5-b963-408c4d67dbf9,| cloudy.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/b517160d-6b0a-40c5-b963-408c4d67dbf9-image_url.png,"Castle St, Liverpool",United Kingdom,2026-02-01,53.406878,-2.991747,2026-09-09 14:40:07.94216+00,,https://www.instagram.com/p/DX42fJXCDiE/
ba610792-47db-4bec-bef2-fae1ad786496,| sonder.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/ba610792-47db-4bec-bef2-fae1ad786496-image_url.png,"Covent Garden, London",United Kingdom,2024-07-01,51.511893,-0.123596,2026-08-28 09:26:50.543+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/ba610792-47db-4bec-bef2-fae1ad786496-slideshow_image_url.jpg,https://www.instagram.com/p/DRMo9e3CEg3/
bb05900d-9ee9-4a63-92f1-10e2264fe7f1,| teamwork.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/bb05900d-9ee9-4a63-92f1-10e2264fe7f1-image_url.png,"Oxford, Oxfordshire",United Kingdom,2026-04-01,51.748038,-1.248787,2026-09-08 15:58:05.454922+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/bb05900d-9ee9-4a63-92f1-10e2264fe7f1-slideshow_image_url.jpg,https://www.instagram.com/p/Dc4MpbRI4Tu/
cc4d6c88-915b-4575-9969-134c2ebe35e4,| back in the day.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/cc4d6c88-915b-4575-9969-134c2ebe35e4-image_url.png,"Christ Church Meadow, Oxford",United Kingdom,2026-04-01,51.748167,-1.25194,2026-09-09 14:19:29.30197+00,,https://www.instagram.com/p/Dcjj2EqI6Tm/
dbb4368e-4a45-4ef8-b11a-7e5b10ea44ae,| jack of all trades.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/dbb4368e-4a45-4ef8-b11a-7e5b10ea44ae-image_url.png,"Las Vegas, Nevada",United States,2025-12-01,36.172617,-115.145658,2026-08-28 14:47:49.423284+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/dbb4368e-4a45-4ef8-b11a-7e5b10ea44ae-slideshow_image_url.jpg,
ddc27a62-1b7e-48c8-9bd9-f572cf33c9a3,| sí o no?,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/ddc27a62-1b7e-48c8-9bd9-f572cf33c9a3-image_url.png,"Marylebone, London",United Kingdom,2025-11-01,51.514609,-0.155932,2026-09-08 15:27:56.596072+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/ddc27a62-1b7e-48c8-9bd9-f572cf33c9a3-slideshow_image_url.jpg,https://www.instagram.com/p/Dc9SWpsIPDz/
ea9e8b92-b7b2-4af9-bf58-f528136593f2,| at the meadows.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/ea9e8b92-b7b2-4af9-bf58-f528136593f2-image_url.png,"Sudbury, Suffolk",United Kingdom,2026-06-01,52.035987,0.737313,2026-08-28 10:37:31.166+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/ea9e8b92-b7b2-4af9-bf58-f528136593f2-slideshow_image_url.jpg,https://www.instagram.com/p/DcmK826IAWn/
f47e5f3b-9370-4935-b418-c417735984be,| sintonía.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/f47e5f3b-9370-4935-b418-c417735984be-image_url.png,"Tijuana, Baja California",Mexico,2024-06-01,32.492785,-117.007738,2026-08-28 11:03:43.261+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/f47e5f3b-9370-4935-b418-c417735984be-slideshow_image_url.jpg,https://www.instagram.com/p/DbwBrGXIzEa/
f5a71ac5-dbda-48f5-b217-a66563d244a9,| different pace.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/f5a71ac5-dbda-48f5-b217-a66563d244a9-image_url.png,"New College Ln, Oxford",United Kingdom,2026-04-01,51.75448,-1.253475,2026-09-09 12:59:42.326108+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/f5a71ac5-dbda-48f5-b217-a66563d244a9-slideshow_image_url.jpg,https://www.instagram.com/p/DY7w3G3KCXj/
fee3b609-6826-4491-8c6c-19c4c9fe0b06,| strangers.,,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/fee3b609-6826-4491-8c6c-19c4c9fe0b06-image_url.png,"Soho, London",United Kingdom,2026-05-01,51.5138,-0.125162,2026-09-10 08:23:39.261975+00,https://jmrdn1kbp4bd1kd6.public.blob.vercel-storage.com/photos/migrated/fee3b609-6826-4491-8c6c-19c4c9fe0b06-slideshow_image_url.jpg,https://www.instagram.com/p/DYakepCNuBM/
